step,loss,lr,tok_per_s,dt_seconds,loss_reduction,train_jsonl,val_jsonl
50,1.53299636,2e-06,73158.4335,11.1976,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
100,1.25106533,1.9906859460363304e-06,80118.5259,10.2249,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
150,1.2191653,1.9629172873477994e-06,28315.2682,28.9314,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
200,1.05631089,1.9172113015054528e-06,80177.2574,10.2174,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
250,1.01792389,1.8544194045464886e-06,28470.5223,28.7736,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
300,0.91285895,1.7757112907044198e-06,81267.4218,10.0803,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
350,0.85569218,1.682553143218654e-06,27868.3504,29.3954,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
400,0.79643375,1.5766803221148673e-06,79899.038,10.2529,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
450,0.72255856,1.460065037731152e-06,28762.2588,28.4818,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
500,0.66528364,1.334879612170986e-06,79730.6956,10.2746,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
550,0.66075536,1.203456013052634e-06,28586.6969,28.6567,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
600,0.54889389,1.068242413364671e-06,79615.4885,10.2895,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
650,0.57517799,9.317575866353291e-07,28321.8165,28.9247,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
700,0.54760237,7.965439869473663e-07,81267.3988,10.0803,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
750,0.4989386,6.651203878290138e-07,28826.7402,28.4181,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
800,0.45816667,5.399349622688478e-07,79976.8297,10.243,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
850,0.46117705,4.233196778851329e-07,28475.2294,28.7689,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
900,0.45982192,3.174468567813461e-07,79806.9734,10.2648,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
950,0.4264663,2.2428870929558007e-07,26488.5606,30.9266,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1000,0.44517384,1.4558059545351142e-07,81183.4558,10.0907,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1050,0.42204358,8.278869849454717e-08,28370.7741,28.8748,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1100,0.4130981,3.708271265220087e-08,81185.023,10.0905,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1150,0.40592014,9.314053963669244e-09,28383.6495,28.8617,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1200,0.4205778,0.0,79759.1774,10.2709,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
50,1.65839071,2e-06,73106.4781,11.2056,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
100,1.53070347,1.9906859460363304e-06,79923.8921,10.2498,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
150,1.36732209,1.9629172873477994e-06,27980.058,29.278,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
200,1.23336597,1.9172113015054528e-06,79737.3233,10.2737,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
250,1.13838798,1.8544194045464886e-06,27837.9083,29.4275,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
300,1.10522233,1.7757112907044198e-06,79622.8904,10.2885,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
350,1.02802014,1.682553143218654e-06,27731.3026,29.5406,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
400,0.95795073,1.5766803221148673e-06,79577.9777,10.2943,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
450,0.95119863,1.460065037731152e-06,27711.9156,29.5613,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
500,0.83794496,1.334879612170986e-06,79718.0317,10.2762,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
550,0.81025949,1.203456013052634e-06,28351.6929,28.8942,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
600,0.78199697,1.068242413364671e-06,79775.7716,10.2688,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
650,0.75513044,9.317575866353291e-07,27875.6564,29.3876,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
700,0.72050116,7.965439869473663e-07,79866.2476,10.2571,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
750,0.6952173,6.651203878290138e-07,27635.0052,29.6436,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
800,0.66770547,5.399349622688478e-07,79856.5285,10.2584,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
850,0.63487463,4.233196778851329e-07,28387.8645,28.8574,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
900,0.63032843,3.174468567813461e-07,79356.2633,10.3231,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
950,0.63188734,2.2428870929558007e-07,28437.8395,28.8067,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1000,0.59862988,1.4558059545351142e-07,77104.2614,10.6246,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1050,0.63684646,8.278869849454717e-08,28132.8596,29.119,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1100,0.59285305,3.708271265220087e-08,81194.9971,10.0893,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1150,0.58758944,9.314053963669244e-09,28417.0677,28.8277,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
1200,0.62308814,0.0,78079.4171,10.4919,example_mean,datasets/distill/targeted_distill_mix_v1/train.jsonl,datasets/distill/targeted_distill_mix_v1/val.jsonl
